MD12,MD3,MD55,MD32,MD15,MD41,MD36,MD63,MD45,MD34,MD30,MD62,MD59,MD38,MD7,MD25,MD23,MD9,MD66,MD54,PCE
6,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2.10069067
2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0.591760536
3,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.686766122
7,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0.999356849
6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.825495545
2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0.319819247
6,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.277445465
6,0,0,0,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2.312709406
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.362057898
2,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0.002015097
7,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3.702943043
4,2,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,7,1.54541132
5,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.935123093
5,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2.167529163
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.174565183
5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.406192816
4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.22241768
4,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848035394
5,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1.596140511
1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1.153182908
3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767478248
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.678577203
1,2,0,0,3,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,3.604466262
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.097031497
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.72163116
6,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.667487626
6,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2.087127793
3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1.727668766
3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004334139
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.636563153
2,2,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,4,1.165795348
1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.21663465
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.819067515
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.775538677
7,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1.801577694
7,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1.304246491
3,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1.723737442
5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35530684
2,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1.212702128
7,1,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,7,1.565669269
7,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.136602227
8,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.257506733
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0
7,0,0,0,3,6,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2.883900263
3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.734425328
9,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1.809821609
7,0,0,0,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3.969141441
8,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1.671517483
6,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2.051877614
3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.014361878
4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.589640336
1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.835245724
5,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4.898605666
7,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1.723147588
2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1.749530033
7,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.725716056
10,4,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,16,0.701083742
4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.747703207
10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.829864019
7,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.310894943
5,0,0,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.327436888
2,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1.166550023
7,1,0,0,3,6,0,0,3,1,1,0,1,0,0,1,2,0,0,4,1.228483456
1,1,0,0,6,12,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1.596714226
8,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.155422901
4,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.689506301
3,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.550718577
8,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.018992051
5,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1.101988518
2,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,3.922806508
9,0,0,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,6,-0.025473488
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.746424649
3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2.401992439
3,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.060122308
4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,2.881075664
5,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2.997289598
12,0,0,0,6,12,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2.250835137
12,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,18,0.283288852
0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.890900347
6,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2.113124417
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.271388196
4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.709148308
7,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,1.293742966
9,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2.052211021
3,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.818290812
7,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.831098529
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.247016967
10,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688563716
1,1,0,0,1,1,1,0,3,1,0,0,1,0,0,0,0,0,0,2,2.791345682
2,2,0,0,1,2,2,0,1,4,1,0,1,0,0,0,0,0,0,4,2.124051089
2,1,0,0,6,12,1,0,1,1,0,0,1,1,0,0,0,0,0,4,4.149924975
3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.062224768
0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.155835328
1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,3.83054417
9,0,0,0,2,6,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2.668117776
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.977223165
0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.533645669
3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.29871281
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47e-15
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.868375993
7,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1.338034388
4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,1.990107835
4,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,6,0.235429975
9,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.629012136
2,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,1.051147349
10,0,0,0,6,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.735767607
5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2.565002195
3,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1.644301124
10,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387653861
2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.955527286
9,1,0,0,0,8,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1.504201124
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.930320919
2,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1.482818353
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.173870587
5,0,0,0,0,4,1,0,1,3,0,0,0,0,0,0,0,0,0,2,3.626123806
5,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.362453544
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.631322369
2,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,3,1.050189225
12,0,0,0,6,12,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.425851014
2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0.611206603
9,3,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,0,9,0.403808055
8,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.190114332
4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672743452
2,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1.199334774
4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,1.752752562
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.087876082
4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.745747746
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.208401694
2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,3.24093501
4,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.697419226
5,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.184219557
2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,1.151880359
3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,1.575540343
12,1,0,0,4,9,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3.106993976
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.949490948
2,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,4,2.488843475
2,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1.459877902
5,2,0,1,3,6,1,0,1,1,0,0,1,0,0,0,0,0,0,4,0.990062716
4,1,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,7,1.152892431
2,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1.385131067
5,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.727597759
2,2,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,3,1.200457298
5,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.956115447
10,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3.217251005
7,0,0,0,3,6,0,0,4,0,0,0,0,0,0,0,0,0,0,4,2.986350026
4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.70950712
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.557330116
0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.889264936
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.200247855
5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.216950207
5,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.28796318
4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,2.775279829
7,0,0,0,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.475853301
6,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2.396114492
4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2.003355225
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3.617580471
4,2,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1.552969499
1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,2,3.204417507
3,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,4,2.785174585
0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.327326533
8,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1.854850651
2,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,4,3.216746909
11,0,0,0,5,8,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2.716188945
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.345537318
4,1,0,0,3,8,1,0,2,4,1,0,1,0,0,0,0,0,0,4,0.989553414
2,2,0,0,3,3,0,2,2,3,2,0,1,0,0,0,0,0,0,4,1.502489444
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.740742265
4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.227198477
5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.501423909
8,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3.242741302
6,1,0,0,3,6,0,1,2,1,2,0,1,0,0,0,0,0,0,2,3.199950255
4,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4879829
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.643679979
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.098446446
4,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0.170924955
1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.126815101
12,0,0,0,6,12,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0.810673773
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.568776715
6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.58047278
1,2,0,0,3,6,0,0,2,3,0,0,1,0,0,0,0,0,1,2,1.723074311
6,1,0,0,6,2,0,0,1,3,0,0,1,0,0,0,0,0,0,3,0.343816325
7,1,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,7,4.832748022
2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3.444016059
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.946262892
2,2,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,3,0.979425367
3,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.490912525
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606475466
7,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1.016880496
6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3.678681271
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.907292973
9,0,0,0,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,12,-0.284590816
2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1.987528373
5,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,3,3.017209442
2,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,4,2.521745751
4,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,7,1.311248634
5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,10,1.083628645
13,0,0,0,6,12,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0.96825441
1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.143409849
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.388763151
4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1.86371287
9,0,0,0,3,6,0,0,1,2,0,0,0,0,0,0,0,0,0,6,4.084415763
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.618378356
4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,1.339390366
5,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1.652566214
9,2,0,0,3,5,0,0,1,1,1,0,1,0,0,0,0,0,0,2,0.0
4,1,0,0,1,2,1,0,1,3,0,0,1,1,0,0,0,0,0,8,2.557121812
7,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4.180876159
11,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.413719593
8,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3.12489521
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1.335476938
3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0.927275935
0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4.91705039
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.07554957
11,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111064544
8,2,0,0,3,6,2,0,5,1,2,0,2,0,1,0,0,1,2,8,3.172252032
2,2,0,0,3,2,2,0,1,2,1,0,1,0,0,0,0,0,0,3,1.24937137
10,0,0,0,3,6,0,0,1,3,0,0,0,0,0,0,0,0,0,8,4.134974711
0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.921081383
4,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,6,1.092663259
5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.464737658
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.209234022
3,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0.70105921
14,0,0,0,6,12,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0.939643461
8,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.938150529
2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1.909274893
4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4.732007238
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.541154489
8,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3.375930995
4,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.248161021
14,0,0,0,6,12,0,0,1,3,0,0,0,0,0,0,0,0,0,8,2.713745704
5,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.598463115
4,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1.326774004
3,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,6,5.148033162
11,1,0,0,0,8,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0.484532497
5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,10,2.125213584
2,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1.586115609
4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.88710236
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.224031366
7,0,0,0,3,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2.332146172
2,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1.166923006
11,1,0,0,0,8,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0.562186959
